 X_force  Z_force     lambda  Y_force    time(sec)
  0.8473   0.6759  296.29255   3.9489  11028.89453
  0.3448   0.7281  296.10225   3.9287  11028.89648
  0.5995   0.7996  295.87695   3.6931  11028.89746
  0.6135   0.7803  295.67035   3.5786  11028.89844
  0.3483   0.7803  295.69795   3.4978  11028.89844
  0.6379   0.8731  295.84125   3.4136  11028.90039
  0.6850   0.8876  295.74100   3.4540  11028.90137
  1.2714   0.8818  295.77915   3.7217  11028.90137
  1.4441   0.9021  296.02085   3.4944  11028.90332
  1.3237   0.8035  295.88160   3.5146  11028.90430
  1.4022   0.8035  296.19420   3.3631  11028.90527
  1.0253   0.9079  295.84415   3.4641  11028.90625
  0.9904   0.9736  295.66745   3.3227  11028.90918
  0.8369   0.9349  295.53510   3.3025  11028.90918
  1.0951   0.8808  295.98070   3.4978  11028.91016
  0.6065   0.9156  295.98220   3.7536  11028.91016
  0.8369   0.9398  295.67520   3.6964  11028.91211
  0.9730   0.9050  295.92540   3.4288  11028.91211
  1.0358   0.8006  296.11240   3.4439  11028.91406
  0.3709   0.7571  295.82680   3.4843  11028.91406
  0.6275   0.8228  295.81875   3.4372  11028.91504
  0.9311   0.8267  295.61520   3.6661  11028.91602
  1.7059   0.7165  295.74260   3.7469  11028.91797
  1.1789   0.6256  295.88160   3.7873  11028.91797
  1.0951   0.5676  296.02885   3.7738  11028.91895
  0.7688   0.6353  295.77195   3.4843  11028.91992
  0.8002   0.6788  295.86945   3.5500  11028.92188
  0.8002   0.7513  295.60085   3.5601  11028.92188
  1.0515   0.8963  295.97320   3.5803  11028.92383
  1.3132   1.0036  295.69650   3.4086  11028.92480
  1.2766   1.1012  296.02625   3.2554  11028.92480
  1.6116   1.0239  295.86870   3.6459  11028.92578
  0.8787   0.9040  296.24440   3.4439  11028.92676
  1.1771   0.7861  295.95785   3.4793  11028.92773
  1.0724   0.6672  295.97405   3.6914  11028.92969
  0.8159   0.8180  295.87715   3.4995  11028.92969
  0.6746   0.7977  295.84725   3.4641  11028.93164
  0.7007   0.8412  295.77425   3.4136  11028.93262
  0.5594   0.8441  295.89205   3.3833  11028.93262
  1.0253   0.9968  295.69595   3.3699  11028.93359
  1.3394   1.1901  295.71440   2.9120  11028.93457
  1.2766   0.9349  295.53135   3.2150  11028.93750
  1.1405   0.9688  295.73810   3.1561  11028.93945
  0.7479   0.8702  295.85340   3.3278  11028.94043
  1.0829   0.8673  295.37435   3.4742  11028.94043
  0.9991   1.0094  295.51115   3.3682  11028.94141
  1.5331   1.0442  295.66700   3.3480  11028.94434
  1.5855   1.0471  295.60140   3.1813  11028.94434
  1.1719   0.9659  295.61920   3.4910  11028.94531
  1.1928   0.7803  295.49915   3.7065  11028.94727
  0.5908   0.6411  295.71035   3.8075  11028.94922
  0.7217   0.6643  295.57975   3.7469  11028.95117
  0.5332   0.7745  295.91840   3.5146  11028.95215
  1.0567   0.6933  295.58895   3.7267  11028.95215
  1.4808   0.7397  295.81885   3.4995  11028.95312
  1.4232   0.6488  295.36810   3.6661  11028.95410
  1.0742   0.5908  295.78010   3.6661  11028.95605
  1.1440   0.7725  295.93425   3.6526  11028.95605
  0.7531   0.8847  295.47710   3.4641  11028.95703
  1.1021   1.0393  295.73785   3.2688  11028.95801
  1.2557   1.0780  295.75265   3.2688  11028.95996
  1.2609   1.0645  295.77450   3.2470  11028.95996
  1.3918   1.0007  295.47760   3.2167  11028.96094
  1.3865   1.0181  295.52175   3.3076  11028.96289
  1.0829   0.9804  295.59305   3.2621  11028.96387
  0.7426   0.9282  295.83570   3.4136  11028.96387
  0.7531   0.8557  295.35575   3.3732  11028.96582
  0.3203   0.6875  295.95675   3.4102  11028.96582
  1.4912   0.7020  295.52860   4.0600  11028.96875
  1.7844   0.7687  295.62075   4.1257  11028.97070
